MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"M50","M-------50","Mesoproterozoic unit 50","Undifferentiated Mesoproterozoic sediments and granites of Mount Painter Inlier, deeply weathered and kaolinised."
"M51","M-------51","Mesoproterozoic unit 51","Granitoid and felsic porphyritic rocks, Mount Painter Inlier, including Armchair Granite, Lookout Granodiorite, M13, M29, M45, M46, M47. Ages uncertain."
"M6","M-------06","Mesoproterozoic unit 6","Trachyte metavolcanics, often porphyritic. Based on Prot-v1 on CURNAMONA."
"M7","M-------07","Mesoproterozoic unit 7","Metasiltstone, shale, greywacke. Based on Prot-m on CURNAMONA."
"M9","M-------09","Mesoproterozoic unit 9","Amphibolite, serpentinite, dolerite, gabbro sills, dykes, plugs. Based on pEd on PORT AUGUSTA."
"ME","ME","Mesoproterozoic-Cambrian rocks","Undifferentiated Mesoproterozoic to Cambrian rocks."
"ME1","ME------01","Mesoproterozoic-Cambrian unit 1","Meta-mafic rocks: basalt, dolerite, gabbro, rare andesite, all amphibole to biotite-chlorite-altered.  Dykes, sills, pods, plugs.  MARREE, intruding Mount Babbage Inlier and Adelaide Geosyncline rocks."
"MN","MN","Mesoproterozoic-Neoproterozoic rocks","Undifferentiated Meso-Neoproterozoic rocks."
"MN-k","MN-k","Kullal Dyke Suite","Dolerite, fine-grained; olivine and plagioclase, typically porphyritic; meta-dolerite, typically porphyritic, granoblastic.  Age ~1000Ma."
"MN1","MN------01","Mesoproterozoic-Neoproterozoic unit 1","Meta-mafic rocks: basalt, dolerite, gabbro, rare andesite, all amphibole to biotite-chlorite-altered.  Dykes, sills, pods, plugs.  Intrude Mount Babbage Inlier and Mount Painter Inlier."
"MN2","MN------02","Mesoproterozoic-Neoproterozoic unit 2","White quartzose sandstone, fine sandstone, red-brown siltstone. Based on ?Prot-c on ELLISTON."
"MN3","MN------03","Mesoproterozoic-Neoproterozoic unit 3","Undifferentiated mafic dykes, Musgrave Block. 1998 State geology map revision."
"MN4","MN------04","Mesoproterozoic-Neoproterozoic unit 4","Post-Musgravian mafic sills and plugs; mostly reversely magnetised; age(s) unknown."
"MN5","MN------05","Mesoproterozoic-Neoproterozoic unit 5","Post-Musgravian mafic dykes; mostly reversely magnetised; age(s) unknown."
"Ma","M-a","Gawler Range Volcanics","Dacite, rhyodacite and rhyolite lava; basalt to andesite, tholeiitic; ignimbrite; tuff; volcanic breccia. A to I-type, 1592-1591 Ma."
"Ma1","M-a-----01","Gawler Range Volcanics unit 1","Porphyritic rhyolite."
"Ma10","M-a-----10","Gawler Range Volcanics unit 10","Upper part of upper GRV: dacite and rhyodacite lava; Yardea Dacite, Chandabooka Dacite and Carnding Rhyodacite. A-type, 1592-1591 Ma."
"Ma11","M-a-----11","Gawler Range Volcanics unit 11","Mafic lower Gawler Range Volcanics of Olympic Domain."
"Ma12","M-a-----12","Gawler Range Volcanics unit 12","Upper Gawler Range Volcanics: Yardea Dacite, Mt Double Ignimbrite, Eucarro Dacite, Chandabooka Dacite, Carnding Rhyodacite."
"Ma13","M-a-----13","Gawler Range Volcanics unit 13","Dacite, highly porphyritic. Waulkinna Hill area; intrudes massive to weakly foliated granite to SE."
"Ma14","M-a-----14","Gawler Range Volcanics unit 14","Dacite, highly porphyritic. Peterlumbo area; dykes intrude Bittali Rhyolite."
"Ma15","M-a-----15","Gawler Range Volcanics unit 15","Rhyolite to dacite, lava and ignimbrite; minor tuff, lapillistone tuff and tuffaceous mudstone. Underlies Roopena Basalt and Eucarro Rhyolite. DDH RC1, ""Myall Creek"" area."
"Ma16","M-a-----16","Gawler Range Volcanics unit 16","Rhyolite, orange to pink, rounded quartz phenocrysts and tabular feldspar phenocrysts in a fine-grained groundmass. Underlies Eucarro Rhyolite, ""Myall Creek"" area."
"Ma17","M-a-----17","Gawler Range Volcanics unit 17","Undifferentiated felsic volcanics, lower Gawler Range Volcanics: rhyolite, rhyodacite, dacite."
"Ma18","M-a-----18","Gawler Range Volcanics unit 18","Undifferentiated intermediate to mafic volcanics, lower Gawler Range Volcanics: andesite, basalt."
"Ma2","M-a-----02","Gawler Range Volcanics unit 2","Dacite, highly porphyritic. Mt Sturt area."
"Ma4","M-a-----04","Gawler Range Volcanics unit 4","Porphyritic dacite, rhyodacite, rhyolite."
"Ma5","M-a-----05","Gawler Range Volcanics unit 5","Porphyritic rhyolite and rhyodacite dykes and plugs. Intrudes May."
"Ma6","M-a-----06","Gawler Range Volcanics unit 6","Andesite, dacite dykes."
"Ma7","M-a-----07","Gawler Range Volcanics unit 7","Dolerite dykes within Glenloth Granite. Based on unit as on GAIRDNER. Age uncertain; map unit at present may include older dykes."
"Ma8","M-a-----08","Gawler Range Volcanics unit 8","Lower Gawler Range Volcanics: tholeiitic basalt to rhyolite lava, ignimbrite and tuff; includes Ealbara Rhyolite, Konkaby Basalt, Chitanilga Volcanic Complex, Glyde Hill Volcanic Complex, Lake Gairdner Rhyolite, Waganny Dacite, Bittali Rhyolite, Roopena Basalt, Angle Dam Volcanics, Ma1, and Ma15 to Ma18. 1592-1591 Ma."
"Maa","M-a--a","Yannabie Rhyodacite","Rhyodacite, fine-grained to porphyritic, feldspar phenocrysts of plagioclase and K feldspar. Vesicular."
"Mab","M-a--b","Bittali Rhyolite","Rhyolite to rhyodacite lavas and ignimbrites, feeder dykes and tuffs."
"Mad","M-a--d","Yandoolka Rhyolite","Rhyolite, porphyritic."
"Mae","M-a--e","Ealbara Rhyolite","Rhyolite, flow banded; rhyodacite. ignimbritic; tuff."
"Mae1","M-a--e--01","Ealbara Rhyolite unit 1","Tuffaceous chert, tuff, agglomerate, rhyolite lava. Based on Prot-a2 on KINGOONYA."
"Mae2","M-a--e--02","Ealbara Rhyolite unit 2","Rhyolite-rhyodacite ignimbrite; minor dacite, rhyolite, rhyodacite lava. Based on Prot-a3 on KINGOONYA."
"Maf","M-a--f","Fresh Well Formation","Sandstone, argillaceous and tuffaceous; sandstone, arkosic and lithic; siltstone, massive to bedded; shale, dolomitic; pebble conglomerate; tuff. U-Pb crystallisation age of tuff 1587±15 Ma."
"Maf1","M-a--f--01","Fresh Well Formation unit 1","Lower Fresh Well Formation, below the lower Roopena Basalt."
"Maf2","M-a--f--02","Fresh Well Formation unit 2","Upper Fresh Well Formation, between lower Roopena Basalt and upper Roopena Basalt."
"Mag","M-a--g","Angle Dam Volcanics","Rhyolite to dacite, porphyritic, tabular feldspar phenocrysts, lesser quartz and biotite phenocrysts, dark red to purple-red fine-grained groundmass, often brecciated and affected by sericite-haematite-carbonate alteration."
"Mah","M-a--h","Chandabooka Dacite","Dacite, porphyritic; minor rhyodacite. ?Equivalent of May."
"Mah1","M-a--h--01","Chandabooka Dacite unit 1","Tuff, banded, green-grey, basal unit."
"Mai","M-a--i","Wiltabbie Volcanics","Rhyolite; dacite; andesite/basalt; basalt; dolerite; lamprophyric basalt. Dykes."
"Mak","M-a--k","Konkaby Basalt","Andesite-basalt; dacite, vesicular, agglomeratic, tuffaceous."
"Mal","M-a--l","Lake Gairdner Rhyolite","Rhyolite-rhyodacite lavas, welded tuff, breccia."
"Mam","M-a--m","Mount Double Ignimbrite","Ignimbrite, layered, black, with lithic clasts, quartz and feldspar fragments, fiamme and flattened shards."
"Man","M-a--n","Nonning Rhyodacite","Rhyodacite to dacite, with phenocrysts of plagioclase, K feldspar and clinopyroxene."
"Mao","M-a--o","Mount Friday Formation","Volcaniclastic rocks: autobreccia; volcanogenic breccia; diamictite; conglomerate; sandstones; siltstone."
"Map","M-a--p","Paney Rhyolite","Rhyolite-rhyodacite, fine to coarse-grained, porphyritic, welded ash?."
"Maq","M-a--q","Carnding Rhyodacite","Rhyodacite to dacite, porphyritic, tuffaceous at base. Ignimbrite."
"Mar","M-a--r","Roopena Basalt","Basalt; altered amygdale-rich or brecciated flow tops, altered and brecciated bases, flows ~ 5 to 25 m thick."
"Mar1","M-a--r--01","Roopena Basalt unit 1","Lower Roopena Basalt:1 to 2 basalt flows, below upper Fresh Well Formation."
"Mar2","M-a--r--02","Roopena Basalt unit 2","Upper Roopena Basalt:at least 9 basalt flows, above upper Fresh Well Formation."
"Mas","M-a--s","Spearfelt Rhyodacite","Rhyolite to dacite, reddish- to purplish-brown, massive, dominantly feldspar-phyric but commonly sparsely quartz-phyric, black to dark green ferromagnesian phenocrysts including hornblende. Zircon U-Pb CA-TIMS age 1591.2 ± 0.5 Ma."
"Mau","M-a--u","Eucarro Rhyolite","Rhyolite, massive, red to pink, columnar-jointed, euhedral phenocrysts of plagioclase, olivine, pyroxene and hornblende, rare free quartz. A-type."
"Mau1","M-a--u--01","Eucarro Rhyolite unit 1","Dacite, dark grey, densely welded at or near base. Based on unit within Eucarro Rhyolite on YARDEA."
"Maun","M-a--un","Nonning Rhyolite Member","Rhyolite, massive, red to pink, columnar-jointed; with scattered granitoid and lithic megacryst-bearing clasts."
"Maup","M-a--up","Paney Rhyolite Member","Rhyolite, fine to coarse-grained, porphyritic, commonly flow-banded.   Near Conflagration Dam contains large lithic clasts."
"Mauy","M-a--uy","Yannabie Rhyolite Member","Rhyolite, amygdaloidal, vesicular, abundant free quartz; top of flow."
"Maw","M-a--w","Waganny Dacite","Dacite-rhyodacite, porphyritic; dacite; andesite. Age of equivalent at Toondulya Bluff (U-Pb)1591+/-3 Ma."
"May","M-a--y","Yardea Dacite","Dacite, porphyritic, phenocrysts of plagioclase, horneblende; rhyodacite in places."
"May1","M-a--y--01","Yardea Dacite unit 1","Rhyolitic tuff."
"May2","M-a--y--02","Yardea Dacite unit 2","Welded porphyritic dacite, rhyodacite, obsidian. Age(U-Pb)=1592+/-3Ma."
"Maym","M-a--ym","Moonaree Dacite Member","Dacite, massive, red, commonly columnar jointed; porphyritic with phenocrysts of plagioclase, pyroxene."
"Maym1","M-a--ym-01","Moonaree Dacite Member unit 1","Dacite, massive, black, grey or brown, sometimes flow-banded; welded/chilled base of flow."
"Maym2","M-a--ym-02","Moonaree Dacite Member unit 2","Dacite, massive, red, porphyritic; with scattered granitoid and lithic clasts at ""Yardea"" and ""Yarna""."
"Maym3","M-a--ym-03","Moonaree Dacite Member unit 3","Dacite, massive, red-brown, porhyritic; up to 1 per cent quartz phenocrysts in microcrystalline groundmass."
"Mayp","M-a--yp","Pondanna Dacite Member","Dacite, massive, red, commonly columnar jointed; porphyritic with phenocrysts of plagioclase, pyroxene."
"Mayp1","M-a--yp-01","Pondanna Dacite Member unit 1","Dacite, massive, black, grey or brown, sometimes flow-banded; welded/chilled base of flow; age(U-Pb)=1592+/-3Ma."
"Mayp2","M-a--yp-02","Pondanna Dacite Member unit 2","Dacite, massive, red, porhyritic; with scattered granitoid and lithic clasts."
"Mayp3","M-a--yp-03","Pondanna Dacite Member unit 3","Dacite, amygdaloidal, vesicular; top of flow."
"Mc","M--c","Mesoproterozoic Grouping C rocks","Informal ""grouping C""; contains named units. Conglomerate, sandstone and siltstone, including Corunna Conglomerate."
"Mcb","M--c-b","Blue Range beds","Sandstone, minor grit and pebble beds, white, massive to crossbedded, rare haematite veins."
"Mcb1","M--c-b--01","Blue Range beds unit 1","Basal conglomerate, mottled mauve and white, clasts of chert and quartzite, with arkosic and micaceous matrix."
"Mcm","M--c-m","Mentor Formation","Mudstone, chloritic, sericitic, lithic clasts, tuffaceous; volcaniclastic sediment, breccia, granitic."
"Md","M-hd","White Dam Subsuite","Quartz monzonite; aplite."
"Me","M--e","Radium Creek Group","Metasediments: quartzite, schist, paragneiss, phyllite, calc-silicate rock; maximum depositional ages 1595-1580Ma."
"Me1","M--e----01","Radium Creek Group unit 1","Quartzite: feldspathic and pebbly metasandstone."
"Me12","M--e----12","Radium Creek Group unit 12","Metasediments, quartzitic and pelitic: feldspathic quartzite, sandstone, schist, grit, pebble conglomerate, phyllite. Includes Freeling Heights Quartzite (upper member), Mount Adams Quartzite, Yagdlin Phyllite.  State 1:2 000 000 geology map (2001)."
"Me13","M--e----13","Radium Creek Group unit 13","Gneissic and mixed metasediments, including Me2, Me7, Me8 and undifferentiated Me."
"Me14","M--e----14","Radium Creek Group unit 14","Pelitic and calcsilicate metasediments, including Brindana Schist (except Meb2), Yagdlin Phyllite, Me3, Me4, Me6."
"Me15","M--e----15","Radium Creek Group unit 15","Quartzitic metasediments, including Freeling Heights Quartite, Mt Adams Quartzite, Me1, Me5, Meb2."
"Me2","M--e----02","Radium Creek Group unit 2","Gneiss, quartz-feldspar-mica; feldspathic metasandstone."
"Me3","M--e----03","Radium Creek Group unit 3","Schist, quartz-feldspar-mica."
"Me4","M--e----04","Radium Creek Group unit 4","Mica schist, intermixed psammitic and pelitic."
"Me5","M--e----05","Radium Creek Group unit 5","Orthoquartzite, m.g.-c.g.; schist, psammitic; sandstone, meta-quartzitic; sandstone, sericitic; minor immature sandstone, orthogneiss.  Rare heavy-mineral banding, isoclinal folding.  Max. depos. age 1991+/-6Ma, 1600+/-8Ma (U-Pb SHRIMP)."
"Me6","M--e----06","Radium Creek Group unit 6","Calcsilicate metasediments: dark, recrystallised, often porphyroblastic, gneissic to massive."
"Me7","M--e----07","Radium Creek Group unit 7","Gneissic to granoblastic metasedimentary migmatitic gneiss."
"Me8","M--e----08","Radium Creek Group unit 8","Gneiss, potassic, augen-textured.  Lesser gneiss, banded; gneiss, quartzo-feldspathic, magnetite-rich; amphibolite; gneiss, feldspar-sillimanite."
"Mea","M--e-a","Mount Adams Quartzite","Quartzite; minor schist; schistose volcanics.  U-Pb max. depositional age ~1592Ma."
"Meb","M--e-b","Brindana Schist","Schist, sandy; muscovite and biotite schists; garnet-sericite schist; amphibolite; hornfels; quartzite."
"Meb1","M--e-b--01","Brindana Schist unit 1","Para-amphibolite, calcsilicate."
"Meb2","M--e-b--02","Brindana Schist unit 2","Psammite, coarse-grained, micaceous, garnet-bearing (<2mm), well-preserved heavy-mineral cross-bedding."
"Mef","M--e-f","Freeling Heights Quartzite","Sandstone, medium to coarse-grained, sericitic, feldspathic; grits; quartzite pebble beds; schist.  U-Pb max. depositional age ~1590-1580Ma."
"Mef1","M--e-f--01","Freeling Heights Quartzite unit 1","Quartzite-pebble conglomerate interbeds."
"Mef2","M--e-f--02","Freeling Heights Quartzite unit 2","Quartzite, highly radiometric as determined from aerial radiometric surveys."
"Mefc","M--e-fc","Corundum Creek Schist Member","Schist, sandy; quartzite; muscovite-biotite and corundum-spinel schists."
"Mey","M--e-y","Yagdlin Phyllite","Phyllite; schist."
"Mey1","M--e-y--01","Yagdlin Phyllite unit 1","Phyllite, hornfelsed due to intrusion of Mt Neill Granite."
"Mg","M--g","Giles Complex","Layered mafic-ultramafic intrusions: gabbro, norite, peridotite, pyroxenite, anorthosite and troctolite. ~1085–1040 Ma."
"Mg1","M--g----01","Giles Complex unit 1","Ultrabasic rocks: pyroxenite, picrite. Based on purple unit on WOODROFFE."
"Mg10","M--g----10","Giles Complex unit 10","Anorthosite, massive; non-magnetic to weakly magnetic."
"Mg2","M--g----02","Giles Complex unit 2","Basic rocks: norite, gabbro, anorthosite, troctolite; norite dykes. Based on pale mauve units on WOODROFFE."
"Mg3","M--g----03","Giles Complex unit 3","Anorthosite. Based on plum-coloured unit on MANN and dark red unit on Davies 1-mile."
"Mg4","M--g----04","Giles Complex unit 4","Serpentinite. Based on dark pink unit with white dots on Davies 1-mile."
"Mg5","M--g----05","Giles Complex unit 5","Pyroxenite. Based on dark pink unit with black dots on Davies 1-mile."
"Mg6","M--g----06","Giles Complex unit 6","Picrite, troctolite, olivine gabbro, peridotite. Based on dark pink unit on Davies 1-mile."
"Mg7","M--g----07","Giles Complex unit 7","Coarse-grained, anorthositic contact zone with metasediments. Based on pale pink unit with black bars on Davies 1-mile."
"Mg8","M--g----08","Giles Complex unit 8","Mafic to ultramafic rocks, massive to weakly layered, commonly basal to layered sills; non-magnetic to weakly magnetic."
"Mg9","M--g----09","Giles Complex unit 9","Ultramafic and mafic sills, layered, with contrasting magnetic character."
"Mgt","M--g-t","Teizi Anorthosite","Anorthosite-troctolite, metamorphosed concordant sill-like intrusion. Age of Giles Complex : 1185+/-5 Ma, emplacement ~1200 Ma."
"Mh","M-h","Hiltaba Suite","Granite, syenite, quartz monzonite, granodiorite, monzodiorite:  coarse, megacrystic to equigranular, to fine-grained, granophyric, equigranular or porphyritic.  Undeformed to locally strongly deformed.  Minor mafic to ultramafic intrusive rocks.  I to A-type, ~1600-1575 Ma."
"Mh1","M-h-----01","Hiltaba Suite unit 1","Phenocrystic granite and adamellite; large K-feldspar and plagioclase phenocrysts."
"Mh2","M-h-----02","Hiltaba Suite unit 2","Coarse red-pink granite, adamellite."
"Mh3","M-h-----03","Hillaba Suite unit 3","Greisen alteration of microgranite (and Tarcoola Formation). Based on Prot-gamma-hg on KINGOONYA."
"Mh4","M-h-----04","Hiltaba Suite unit 4","Grey, medium-coarse porphyritic granite, adamellite. Based on Prot-gamma-h1 on STREAKY BAY."
"Mh5","M-h-----05","Hiltaba Suite unit 5","Granite, pink, medium, even-grained; aplite, adamellite. Based on Prot-gamma-h2 on STREAKY BAY."
"Mh6","M-h-----06","Hiltaba Suite unit 6","Mafic to felsic plugs. Includes Curramulka Gabbronorite; 1583+/-5Ma."
"Mh7","M-h-----07","Hiltaba Suite unit 7","Silexite: quartz rock, medium- to coarse-grained, crystalline, minor feldspar and tourmaline."
"Mha","M-h--a","Calca Granite","Granite, coarse grained, red, 1456+/-26 Ma."
"Mhb","M-h--b","Balta Granite","Granite and adamellite, even-grained and porphyritic; brick-red granite; hybrid granite and ?diorite."
"Mhb1","M-h--b--01","Balta Granite unit 1","Granite, magma-mixing hybrid, biotite-rich matrix with more felsic enclaves."
"Mhc","M-h--c","Charleston Granite","Granite, homogeneous, coarse-grained, megacrystic granite."
"Mhr","M-h--r","Arthurton Granite","Granite; adamellite."
"Mht","M-h--t","Tickera Granite","Granite-adamellite, coarse-grained."
"Mi","M-ai","Chitanilga Volcanic Complex","Rhyodacite; rhyolite, with K feldspar phenocrysts; basalt flows; welded tuff; andesite."
"Mi1","M-ai----01","Chitanilga Volcanic Complex unit 1","Basalt lava flows, amygdaloidal basalt."
"Mi10","M-ai----10","Chitanilga Volcanic Complex unit 10","Basalt within Mi2."
"Mi2","M-ai----02","Chitanilga Volcanic Complex unit 2","Fine-grained red-brown, black rhyodacite, complex banding."
"Mi3","M-ai----03","Chitanilga Volcanic Complex unit 3","Basalt within Mi5."
"Mi4","M-ai----04","Chitanilga Volcanic Complex unit 4","Andesite within Mi5."
"Mi5","M-ai----05","Chitanilga Volcanic Complex unit 5","Rhyodacite-rhyolite, brick red-black, complex banding."
"Mi6","M-ai----06","Chitanilga Volcanic Complex unit 6","Grey-black welded tuff; red, black rhyolite, rhyodacite lava flows, breccia."
"Mi7","M-ai----07","Chitanilga Volcanic Complex unit 7","Bands of rhyodacite, andesite and air-fall tuff."
"Mi8","M-ai----08","Chitanilga Volcanic Complex unit 8","Rhyodacite within Mi1."
"Mi9","M-ai----09","Chitanilga Volcanic Complex unit 9","Andesite within Mi1."
"Mj","M--j","Munjeela Suite","Leucogranite, quartz+K-felspar+plagioclase+muscovite+biotite+/-garnet, coarse-grained, S-type, peraluminous. Deformation varies from none to mylonitic. U-Pb age 1591-1577Ma."
"Mjj","M--j-j","Point James Granite","Leucogranite, quartz+K-felspar+plagioclase+muscovite+biotite+/-garnet, coarse-grained to porphyritic, contains more leucocratic phases and rapakivi texture. U-Pb age 1580Ma."
"Mjj1","M--j-j--01","Point James Granite unit 1","Massive pink quartz-feldspar-biotite granite; abundant quartz or K-feldspar phenocrysts. Based on Prot-gamma-7 on NUYTS (Point James area only)."
"Mjj2","M--j-j--02","Point James Granite unit 2","Leucogranite, white-pink fine-medium, leucocratic porphyry. Based on Prot-gamma-8 on NUYTS (east of Point James only)."
"Mjs","M--j-s","Point Sinclair Granite","Granite, quartz+K-felspar+plagioclase+muscovite+biotite+garnet, medium to coarse-grained, contains metasedimentary xenoliths, several intrusive phases, shear zones. U-Pb ages 1590 and 1577Ma."
"Mm","M--m","Moolawatana Suite","Granite to quartz monzonite, coarse, grey, porphyritic, rapakivi-like, massive to gneissic; quartz monzonite, medium to coarse, white-grey; granite, tabular feldspar, grey, gneissic, enriched in REE, U, Th.  Minor tourmaline-bearing granite or monzogranite, granodiorite. A-type, ~1560-1550 Ma."
"Mm1","M--m----01","Moolawatana Suite unit 1","Terrapinna and Wattleowie Granites, intimately intermixed."
"Mm2","M--m----02","Moolawatana Suite unit 2","Metagranodiorite, ""spotty"": pale felspar-rimmed biotite-replaced ?hornblende megacrysts, fine-grained quartz-feldspar-biotite matrix, moderate foliation."
"Mm3","M--m----03","Moolawatana Suite unit 3","Granite; U-Pb age 1560+/-8Ma.  Radium Creek locality."
"Mma","M--m-a","Camel Pad Granite","Granite, fine-grained, with aggregates of biotite, and magnetite. U-Pb age 1551+/-15Ma."
"Mmc","M--m-c","Con Bore Granite","Granite, fine to coarse-grained, with volcanic xenoliths, biotitic, with tourmaline."
"Mmd","M--m-d","Hodgkinson Granodiorite","Granodiorite, medium-grained, equigranular, with biotite; U-Pb age 1552+/-4 Ma."
"Mmg","M--m-g","Golden Pole Granite","Granite, brick red, xenolith and tourmaline free. Coarse to fine-grained granite."
"Mmh","M--m-h","White Well Granite","Granite, medium-grained, biotitic, deformed, phenocrysts of K-feldspar and plagioclase, xenoliths near margins."
"Mmo","M--m-o","Old Camp Granite","Granite, red, massive, structureless and strongly lineated variable grainsize, Plagioclase, K feldspar, quartz, magnetite and biotite. U-Pb age 1555+/-8Ma."
"Mmp","M--m-p","Prospect Hill Granite","Adamellite, grey, fine to medium-grained, phenocrystic."
"Mmt","M--m-t","Terrapinna Granite","Granite, grey, ovoid K feldspar megacrysts."
"Mmt1","M--m-t--01","Terrapinna Granite unit 1","Sparsely xenocrystic/porphyritic variety of granite."
"Mmw","M--m-w","Wattleowie Granite","Granite, grey-white, leucocratic, weakly gneissic."
"Mmy","M--m-y","Yerila Granite","Granite, mylonitic, gneissic, foliated."
"Mn","M-n","Ninnerie Supersuite","Monzogranite, muscovite-biotite; trondhjemite, monzogranite, adamellite and alaskite, biotite-bearing, sodic; granodiorite to diorite; rhyolite to trachyte, porphyritic; basalt, amygdaloidal, hyaloclastic, pillowed, sandstone interbeds. U-Pb age 1600-1580Ma."
"Mn1","M-n-----01","Ninnerie Supersuite unit 1","Basalt, massive to amygdaloidal, dark green, red and haematitic in upper part.  Intercalated with sandstone (M42). Bumbarlow 1, below 509m."
"Mn2","M-n-----02","Ninnerie Supersuite unit 2","Metavolcanic rock, silicic, Gunsight prospect. U-Pb age 1575+/-14Ma."
"Mn3","M-n-----03","Ninnerie Supersuite unit 3","Crystal tuff, rhyolitic, Harts Creek. U-Pb age 1576+/-2Ma."
"Mn4","M-n-----04","Ninnerie Supersuite unit 4","Porphyry, felsic to intermediate, quartz and feldspar phenocrysts, probably extrusive; pyroclastic rocks; metasediments, arenaceous to argillaceous; para-amphibolite.  Strongly sheared, with hydrothermal alteration. Strong radiometric expression."
"Mnb","M-nb","Bimbowrie Suite","Monzogranite, leucocratic, muscovite-biotite, pink to buff or cream, medium- to coarse-grained, massive to foliated, equigranular to strongly porphyritic. S-type, 1594–1580 Ma."
"Mnbb","M-nb-b","Binberrie Hill Granite","Monzogranite, white, cream to pink, coarse-grained, equigranular, muscovite-biotite, variably magnetic, S-type, U-Pb zircon age ~1580Ma."
"Mnbt","M-nb-t","Triangle Hill Granite","Monzogranite, pink to buff or cream, medium- to coarse-grained, equigranular, muscovite-biotite-quartz-plagioclase, characterised by large K-feldspar phenocrysts, S-type. U-Pb zircon ages ~1590-1581Ma."
"Mnc","M-nc","Crocker Well Suite","Monzogranite, biotite; sodic alaskite, phlogopite trondhjemite and granodiorite. S to I-type, ~1580–1568 Ma."
"Mncm","M-nc-m","Mindamereeka Trondhjemite","Trondhjemite, white, coarse-grained and massive, leucocratic, with phlogopite; grades into sodic alaskite; characterised by opalescent blue quartz and white sodic plagioclase locally haematite-dusted, 1560+/-21Ma."
"Mncv","M-nc-v","Mount Victoria Granite","Granite, massive to weakly foliated, equigranular to locally strongly porphyritic, pink to buff, medium- to coarse-grained, biotite-only or biotite ± muscovite; S-type and I-type; age 1579-1568Ma."
"Mne","M-ne","Benagerie Volcanic Suite","Rhyolite to rhyodacite, porphyritic; dacite,  porphyritic, amygdaloidal; basaltic to andesitic breccia.  A-type. U-Pb age 1587-1581Ma."
"Mne1","M-ne----01","Benagerie Volcanic Suite unit 1","Dacite, amygdaloidal, porphyritic, extensively altered, A-type."
"Mne2","M-ne----02","Benagerie Volcanic Suite unit 2","Basaltic to andesitic volcanic breccia, pervasive hydrothermal alteration (haematite, K-feldspar, albite), possibly representing a volcanic vent structure."
"Mnee","M-ne-e","Lake Elder Rhyodacite","Rhyodacite, porphyritic, orthoclase-plagioclase-olivine (fayalite)-clinopyroxene, with apatite, zircon and minor pyrite and chalcopyrite, A-type."
"Mnef","M-ne-f","Finlay Dam Rhyolite","Rhyolite, porphyritic, K-feldspar (orthoclase)-plagioclase-quartz, with apatite, zircon and minor fluorite, haematite-sericite-carbonate alteration, A-type."
"Mnh","M-n--h","Honeymoon Granite","Granite, quartz-plagioclase-alkali feldspar-muscovite-biotite, non-magnetic; S-type."
"Mni","M-n--i","Billeroo Intrusive Complex","Alkaline intrusives: syenite, medium to coarse, porphyritic or brecciated; ijolite, layered, feldspathic; lamprophyre dykes. Foliated. Age between ~1600 and 1580 Ma."
"Mni1","M-n--i--01","Billeroo Intrusive Complex unit 1","Syenite, coarse-medium grained, porphyritic, euhedral perthitic sanidine phenocrysts, K-feldspar+biotite+muscovite+albite+magnetite+calcite matrix."
"Mni2","M-n--i--02","Billeroo Intrusive Complex unit 2","Ijolite, feldspathic, variable amount of nepheline in cancrinite+albite matrix, recrystallised to schistose to mylonitic fabric with fine- to medium-grained bands defining tectonic layering."
"Mni3","M-n--i--03","Billeroo Intrusive Complex unit 3","Lamprophyre dykes, generally very fine-grained, are heterogeneous, albite+cancrinite+magnetite+garnet+epidote+biotite+phlogopite+K-feldspar, variable proportion of cancrinite and relict primary nepheline."
"Mnl","M-n--l","Lake Charles Diorite","Diorite to granodiorite, medium- to fine-grained, quartz-biotite-hornblende-bearing; I-type."
"Mno","M-no","Coulthard Suite","Granite, undeformed, f.g.-c.g., varying to highly deformed, pink-red, c.g., megacrystic granite gneiss or rapakivi granite; trondjhemite, with blue quartz.  A-type, U-Pb ages ~1575-1590Ma."
"Mno1","M-no----01","Coulthard Suite unit 1","Granitic gneiss, pink, equigranular, m.g.-c.g., with K-feldspar, 1582+/-4 to 1584+/-4Ma;; migmatite ~1585Ma.  Minor paragneiss, schist, calcsilcate pods. Amphibolite-facies metamorphism at ~1564 and 1550Ma (U-Pb ages). Relatively high radiometric response."
"Mno2","M-no----02","Coulthard Suite unit 2","Leucogranite, saccharoidal, fine-grained, equigranular, microcline+quartz+/-muscovite."
"Mnob","M-no-b","Box Bore Granite","Granite, coarse-grained, alkaline, potassic and foliated. With fluorite and allanite accessory minerals. A-type."
"Mnon","M-no-n","Mount Neill Granite","Granite, undeformed, brick red to grey, medium- to coarse-grained, microcline+quartz+muscovite, with massive to fine grained equivalents. 1585-1569Ma. A-type."
"Mnoo","M-no-o","Nooldoonooldoona Trondhjemite","Trondhjemite, grey, pink-weathering, medium- to coarse-grained, albitic plagioclase phenocrysts and bluish quartz phenocrysts, rare fluorine-rich magnesian biotite, local granophyric textures. A-type."
"Mnp","M-n--p","Pepegoona Porphyry","Felsic porphyry, dark green, common flow banding, with embayed or corroded microcline, albite and quartz phenocrysts. 1603-1582 Ma."
